2026-02-11 16:39:42,306 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 16:39:42,307 | ERROR | mintsoft_service | Error fetching Mintsoft orders: list indices must be integers or slices, not str
2026-02-11 16:41:19,252 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 16:41:19,253 | ERROR | mintsoft_service | Error fetching Mintsoft orders: list indices must be integers or slices, not str
2026-02-11 16:42:54,051 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 16:42:54,052 | ERROR | mintsoft_service | Error fetching Mintsoft orders: list indices must be integers or slices, not str
2026-02-11 16:48:58,319 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 16:48:58,321 | ERROR | mintsoft_service | Error fetching Mintsoft orders: list indices must be integers or slices, not str
2026-02-11 16:49:13,841 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 16:49:13,841 | ERROR | mintsoft_service | Error fetching Mintsoft orders: list indices must be integers or slices, not str
2026-02-11 16:53:38,854 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 16:55:41,557 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 16:57:15,616 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 16:57:16,168 | INFO | mintsoft_service | Fetching orders with status ID: 4
2026-02-11 16:57:16,653 | INFO | mintsoft_service | Fetched 7 orders with status ID 4 from Mintsoft
2026-02-11 16:57:16,654 | INFO | mintsoft_service | Fetching orders with status ID: 5
2026-02-11 16:57:17,100 | INFO | mintsoft_service | Fetched 7 orders with status ID 5 from Mintsoft
2026-02-11 16:57:17,101 | INFO | mintsoft_service | Fetching orders with status ID: 6
2026-02-11 16:57:17,574 | INFO | mintsoft_service | Fetched 7 orders with status ID 6 from Mintsoft
2026-02-11 16:57:17,574 | INFO | mintsoft_service | Fetched 21 orders from Mintsoft
2026-02-11 17:16:04,828 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 17:16:05,172 | INFO | mintsoft_service | Fetching orders with status ID: 4
2026-02-11 17:16:06,457 | INFO | mintsoft_service | Fetched 7 orders with status ID 4 from Mintsoft
2026-02-11 17:16:06,457 | INFO | mintsoft_service | Fetching orders with status ID: 5
2026-02-11 17:16:06,932 | INFO | mintsoft_service | Fetched 7 orders with status ID 5 from Mintsoft
2026-02-11 17:16:06,932 | INFO | mintsoft_service | Fetching orders with status ID: 6
2026-02-11 17:16:07,368 | INFO | mintsoft_service | Fetched 7 orders with status ID 6 from Mintsoft
2026-02-11 17:16:07,368 | INFO | mintsoft_service | Fetched 21 orders from Mintsoft
2026-02-11 17:20:54,473 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 17:20:54,828 | INFO | mintsoft_service | Fetching orders with status ID: 4
2026-02-11 17:20:55,294 | INFO | mintsoft_service | Fetched 7 orders with status ID 4 from Mintsoft
2026-02-11 17:20:55,294 | INFO | mintsoft_service | Fetching orders with status ID: 5
2026-02-11 17:20:55,792 | INFO | mintsoft_service | Fetched 7 orders with status ID 5 from Mintsoft
2026-02-11 17:20:55,792 | INFO | mintsoft_service | Fetching orders with status ID: 6
2026-02-11 17:20:56,271 | INFO | mintsoft_service | Fetched 7 orders with status ID 6 from Mintsoft
2026-02-11 17:20:56,271 | INFO | mintsoft_service | Fetched 21 orders from Mintsoft
2026-02-11 17:20:56,274 | INFO | mintsoft_service | Starting to match RMA order with Mintsoft orders
2026-02-11 17:20:56,274 | WARNING | mintsoft_service | No matching order found in Mintsoft for RMA order name: 4270369
2026-02-11 17:22:22,507 | INFO | mintsoft_service | Starting to fetch Mintsoft orders
2026-02-11 17:22:23,061 | INFO | mintsoft_service | Fetching orders with status ID: 4
2026-02-11 17:22:23,515 | INFO | mintsoft_service | Fetched 7 orders with status ID 4 from Mintsoft
2026-02-11 17:22:23,515 | INFO | mintsoft_service | Fetching orders with status ID: 5
2026-02-11 17:22:23,934 | INFO | mintsoft_service | Fetched 7 orders with status ID 5 from Mintsoft
2026-02-11 17:22:23,934 | INFO | mintsoft_service | Fetching orders with status ID: 6
2026-02-11 17:22:24,374 | INFO | mintsoft_service | Fetched 7 orders with status ID 6 from Mintsoft
2026-02-11 17:22:24,375 | INFO | mintsoft_service | Fetched 21 orders from Mintsoft
2026-02-11 17:22:24,375 | INFO | mintsoft_service | Starting to match RMA order with Mintsoft orders
2026-02-11 17:22:24,375 | INFO | mintsoft_service | Found matching order in Mintsoft for RMA order name: TEST CLIENT-1917-Copy
